transaction_id,operator_id,player_id,transaction_date,transaction_type,payment_method,amount_usd,currency,status,processing_time_sec,fee_usd,country,is_first_deposit
TXN0000027,OP0033,PLR000802,2023-06-15 17:09:46,Deposit,Mobile Money,3364.06,BTC,Completed,560,79.35,NG,0
TXN0000028,OP0003,PLR006856,2024-09-28 04:22:36,Deposit,Card,3325.9,BTC,Completed,6793,89.68,PH,0
TXN0000029,OP0002,PLR006170,2023-04-30 10:32:50,Refund,Bank Transfer,3309.39,USD,Completed,1504,50.1,IN,0
TXN0000030,OP0008,PLR002913,2023-04-02 03:53:03,Refund,Card,1621.53,GBP,Completed,6729,17.24,GB,0
TXN0000031,OP0077,PLR001855,2024-08-18 07:44:36,Deposit,Bank Transfer,3916.99,EUR,Completed,2414,95.78,DE,0
TXN0000032,OP0011,PLR000539,2024-04-05 00:08:11,Withdrawal,Card,2265.38,USD,Completed,345,55.55,KE,1
TXN0000033,OP0026,PLR003273,2023-04-24 21:59:51,Refund,Crypto,1195.28,GBP,Completed,2192,9.07,DE,0
TXN0000034,OP0055,PLR006451,2024-10-01 17:28:16,Bonus Credit,Mobile Money,1991.57,USD,Completed,987,17.56,KE,0
TXN0000035,OP0044,PLR006938,2024-03-18 19:48:08,Withdrawal,Mobile Money,482.0,USD,Pending,,13.1,NG,0
TXN0000036,OP0003,PLR002506,2024-12-17 23:32:51,Refund,E-Wallet,3964.45,EUR,Completed,1278,32.29,KE,0
TXN0000037,OP0045,PLR004648,2023-10-02 07:57:21,Deposit,Crypto,726.87,USD,Completed,423,19.99,NG,0
TXN0000038,OP0029,PLR001249,2023-07-31 08:14:49,Withdrawal,Card,1259.86,USD,Completed,2979,30.79,PH,0
TXN0000039,OP0004,PLR005638,2024-01-07 11:23:39,Refund,Crypto,1527.27,USD,Completed,5170,20.87,KE,0
TXN0000040,OP0038,PLR007939,2023-01-09 19:20:46,Deposit,Crypto,1116.5,EUR,Completed,4071,32.31,BR,0
TXN0000041,OP0024,PLR001927,2024-02-12 02:34:15,Withdrawal,Bank Transfer,2516.78,GBP,Completed,4450,67.91,KE,0
TXN0000042,OP0074,PLR002968,2024-07-27 19:19:29,Withdrawal,E-Wallet,1501.55,EUR,Completed,3842,39.97,KE,0
TXN0000043,OP0003,PLR007913,2023-05-04 06:10:36,Deposit,Crypto,4090.71,USD,Completed,4119,55.99,ZA,0
TXN0000044,OP0018,PLR004678,2024-12-27 03:09:21,Deposit,Crypto,1643.04,USD,Completed,886,21.21,AU,1
TXN0000045,OP0062,PLR002131,2023-07-05 04:20:03,Bonus Credit,Bank Transfer,1821.7,USD,Completed,4626,28.9,NG,1
TXN0000046,OP0061,PLR003811,2023-12-10 12:47:41,Withdrawal,Bank Transfer,1203.26,EUR,Completed,1549,30.59,BR,0
TXN0000047,OP0047,PLR003054,2024-08-30 04:13:51,Deposit,Crypto,861.7,GBP,Pending,,22.76,CA,0
TXN0000048,OP0064,PLR001801,2023-10-20 15:20:25,Deposit,E-Wallet,2414.76,USD,Completed,2998,17.08,KE,0
TXN0000049,OP0018,PLR000636,2024-10-05 23:38:21,Deposit,Crypto,809.77,GBP,Completed,5810,19.35,ZA,0
TXN0000050,OP0001,PLR003561,2024-03-03 20:34:17,Withdrawal,Mobile Money,1082.59,USD,Reversed,,15.81,CA,0
TXN0000051,OP0003,PLR006461,2023-09-21 15:41:33,Deposit,Mobile Money,3718.53,USD,Completed,5973,82.13,KE,0
TXN0000052,OP0008,PLR005663,2023-09-14 00:27:04,Withdrawal,E-Wallet,331.05,USD,Completed,427,6.47,ZA,0
TXN0000053,OP0072,PLR002290,2023-12-14 18:49:32,Bonus Credit,Bank Transfer,324.57,EUR,Completed,2776,9.56,AU,0
TXN0000054,OP0006,PLR005691,2023-03-27 14:46:51,Deposit,Mobile Money,2880.47,USD,Failed,,68.73,PH,0
TXN0000055,OP0040,PLR001311,2023-12-16 11:22:19,Deposit,Mobile Money,726.52,USD,Completed,7124,17.23,AU,0
TXN0000056,OP0017,PLR001759,2023-12-24 12:28:31,Deposit,Mobile Money,1639.44,GBP,Pending,,34.43,PH,0
TXN0000057,OP0021,PLR007263,2024-01-09 22:29:34,Deposit,E-Wallet,2355.61,EUR,Completed,1064,65.15,GB,0
TXN0000058,OP0078,PLR005957,2023-03-28 22:08:17,Deposit,E-Wallet,1882.43,BTC,Completed,1125,34.13,BR,0
TXN0000059,OP0072,PLR007501,2024-08-21 20:37:08,Withdrawal,Card,3931.55,INR,Failed,,26.73,AU,0
TXN0000060,OP0046,PLR001782,2024-07-10 22:55:49,Deposit,E-Wallet,2082.36,USD,Pending,,40.87,PH,0
TXN0000061,OP0036,PLR003027,2023-10-22 22:58:01,Deposit,Bank Transfer,347.66,USD,Pending,,4.47,AU,0
TXN0000062,OP0074,PLR000117,2024-05-17 03:07:04,Deposit,Card,1580.33,USD,Completed,2346,9.23,AU,0
TXN0000063,OP0069,PLR003052,2024-11-19 07:31:25,Refund,Mobile Money,1788.82,USD,Reversed,,28.8,PH,0
TXN0000064,OP0004,PLR000966,2024-09-18 18:35:44,Deposit,E-Wallet,228.98,GBP,Completed,2651,6.42,BR,0
TXN0000065,OP0030,PLR002773,2023-11-09 02:39:06,Deposit,Bank Transfer,1752.12,GBP,Completed,6090,37.43,DE,0
TXN0000066,OP0009,PLR002847,2024-04-22 01:27:54,Withdrawal,Bank Transfer,1313.43,USD,Failed,,32.75,ZA,0
TXN0000067,OP0004,PLR005530,2024-04-19 10:19:16,Deposit,Card,3624.99,GBP,Completed,2002,84.12,DE,0
TXN0000068,OP0012,PLR006000,2024-12-23 21:04:59,Deposit,E-Wallet,1938.3,USD,Completed,206,54.18,AU,0
TXN0000069,OP0017,PLR001483,2023-07-18 04:36:37,Deposit,Mobile Money,2861.37,EUR,Completed,87,49.88,ZA,0
TXN0000070,OP0077,PLR004246,2024-11-14 08:48:15,Deposit,Mobile Money,493.79,USD,Failed,,4.46,PH,0
TXN0000071,OP0039,PLR001341,2024-12-07 04:25:49,Deposit,Card,3419.73,USD,Completed,912,90.4,IN,0
TXN0000072,OP0056,PLR003879,2023-01-09 00:47:08,Withdrawal,Mobile Money,2960.95,USD,Failed,,67.62,PH,0
TXN0000073,OP0039,PLR007053,2024-09-06 11:09:50,Withdrawal,Bank Transfer,2695.32,USD,Completed,2097,68.22,CA,0
TXN0000074,OP0025,PLR004627,2023-10-20 04:08:56,Deposit,Card,3629.61,EUR,Completed,1340,55.76,IN,0
TXN0000075,OP0029,PLR001451,2023-09-17 10:55:56,Withdrawal,Crypto,166.94,USD,Completed,5907,1.89,AU,0
TXN0000076,OP0032,PLR006642,2024-10-08 16:35:50,Deposit,E-Wallet,1346.29,GBP,Completed,4534,33.21,KE,0
TXN0000077,OP0075,PLR003329,2024-12-15 03:10:36,Deposit,Mobile Money,2586.9,GBP,Failed,,29.64,IN,0
TXN0000078,OP0032,PLR007596,2023-05-08 05:09:56,Deposit,Crypto,646.74,USD,Pending,,11.01,BR,1
TXN0000079,OP0009,PLR002937,2023-05-21 08:36:41,Withdrawal,Bank Transfer,712.16,USD,Completed,2555,20.8,IN,0
TXN0000080,OP0061,PLR003867,2024-10-13 20:35:11,Deposit,Mobile Money,2957.44,USD,Completed,4319,57.28,IN,0
TXN0000081,OP0023,PLR001890,2024-03-06 20:05:53,Deposit,Mobile Money,2873.26,USD,Completed,1766,20.82,ZA,0
TXN0000082,OP0039,PLR004880,2024-08-19 17:39:20,Deposit,Mobile Money,3890.26,BTC,Failed,,83.85,CA,0
TXN0000083,OP0079,PLR005369,2023-04-07 11:04:49,Deposit,Crypto,1697.26,EUR,Reversed,,46.92,GB,0
TXN0000084,OP0061,PLR001038,2024-07-21 05:10:41,Withdrawal,Bank Transfer,1185.16,EUR,Failed,,26.24,AU,1
TXN0000085,OP0011,PLR004356,2023-07-19 09:22:57,Withdrawal,E-Wallet,3561.52,USD,Completed,6132,18.74,KE,0
TXN0000086,OP0030,PLR000339,2023-05-11 13:49:10,Withdrawal,Mobile Money,3719.86,INR,Completed,2413,80.53,BR,0
TXN0000087,OP0043,PLR006584,2023-10-17 06:25:35,Withdrawal,Card,1781.58,GBP,Completed,4899,27.63,BR,0
TXN0000088,OP0052,PLR004517,2023-04-03 23:41:29,Bonus Credit,Mobile Money,1555.26,GBP,Completed,2662,41.53,GB,0
TXN0000089,OP0030,PLR000430,2024-01-01 02:52:06,Deposit,Card,2004.49,USD,Completed,4300,22.17,DE,0
TXN0000090,OP0075,PLR002315,2024-10-16 16:09:59,Withdrawal,Bank Transfer,3849.25,EUR,Pending,,27.05,BR,1
TXN0000091,OP0073,PLR007894,2023-05-22 05:20:51,Withdrawal,Card,1500.81,USD,Completed,6335,18.76,DE,1
TXN0000092,OP0080,PLR000419,2024-10-29 14:00:05,Bonus Credit,Bank Transfer,3362.8,USD,Completed,2543,73.45,GB,0
TXN0000093,OP0006,PLR003019,2023-03-01 18:16:00,Deposit,E-Wallet,524.83,USD,Completed,2906,12.64,AU,0
TXN0000094,OP0062,PLR003798,2023-08-04 11:20:06,Deposit,Crypto,1933.82,EUR,Failed,,44.19,GB,0
TXN0000095,OP0047,PLR003564,2023-07-11 04:52:31,Deposit,Crypto,2524.07,GBP,Failed,,55.66,KE,0
TXN0000096,OP0072,PLR001398,2023-11-27 06:21:25,Deposit,Card,2106.92,USD,Completed,1214,19.35,ZA,0
TXN0000097,OP0017,PLR005285,2023-07-28 21:51:26,Withdrawal,Mobile Money,930.44,USD,Completed,407,20.79,IN,0
TXN0000098,OP0046,PLR003293,2024-01-06 15:33:36,Bonus Credit,E-Wallet,3127.71,EUR,Completed,4384,41.61,CA,0
TXN0000099,OP0025,PLR004969,2024-08-04 05:02:01,Bonus Credit,Mobile Money,1942.03,USD,Completed,4647,32.81,PH,0
TXN0000100,OP0036,PLR001353,2024-05-05 00:41:03,Deposit,E-Wallet,2596.41,USD,Completed,4038,24.86,KE,0
TXN0000101,OP0014,PLR002477,2023-02-07 09:46:26,Deposit,Crypto,1289.32,USD,Completed,4269,25.15,GB,0
TXN0000102,OP0043,PLR002074,2023-12-17 03:12:17,Withdrawal,Crypto,4615.48,GBP,Completed,1348,33.62,BR,0
TXN0000103,OP0034,PLR002650,2024-01-04 09:17:57,Withdrawal,Mobile Money,78.31,GBP,Completed,3287,1.69,CA,0
TXN0000104,OP0042,PLR005752,2024-02-13 18:24:06,Withdrawal,Crypto,4726.65,USD,Failed,,36.46,CA,0
TXN0000105,OP0009,PLR000070,2024-12-03 12:52:11,Withdrawal,E-Wallet,4260.58,INR,Completed,6742,95.98,PH,0
TXN0000106,OP0065,PLR004130,2024-09-08 07:24:22,Withdrawal,Card,170.38,BTC,Completed,2740,1.15,NG,0
TXN0000107,OP0052,PLR002856,2023-11-21 17:07:48,Deposit,Mobile Money,3158.45,EUR,Failed,,35.95,NG,0
TXN0000108,OP0035,PLR006308,2023-05-05 15:41:55,Withdrawal,Mobile Money,316.4,USD,Completed,119,2.06,NG,0
TXN0000109,OP0051,PLR001990,2024-10-29 19:59:48,Deposit,Bank Transfer,1206.6,INR,Completed,2528,20.06,NG,0
TXN0000110,OP0080,PLR005263,2024-11-16 17:14:39,Withdrawal,E-Wallet,1462.81,USD,Pending,,32.46,BR,0
TXN0000111,OP0015,PLR007486,2023-01-20 22:46:58,Withdrawal,Crypto,3558.83,BTC,Completed,1647,96.35,KE,0
TXN0000112,OP0028,PLR007424,2024-11-07 23:42:05,Refund,Bank Transfer,1913.34,USD,Completed,4341,53.67,BR,0
TXN0000113,OP0060,PLR004299,2023-05-12 22:32:48,Deposit,Card,3311.62,EUR,Failed,,62.23,NG,0
TXN0000114,OP0044,PLR006967,2024-05-25 13:39:39,Deposit,E-Wallet,4359.74,GBP,Completed,5482,118.61,PH,0
TXN0000115,OP0034,PLR006290,2024-08-22 17:06:25,Withdrawal,Card,3832.25,GBP,Completed,1097,72.77,DE,0
TXN0000116,OP0032,PLR004985,2024-09-06 02:10:06,Bonus Credit,Mobile Money,1503.5,GBP,Completed,7075,40.31,NG,1
TXN0000117,OP0072,PLR006243,2023-11-17 17:44:34,Bonus Credit,Bank Transfer,4457.53,EUR,Completed,4142,35.07,GB,1
TXN0000118,OP0057,PLR000450,2023-08-31 02:33:34,Bonus Credit,Bank Transfer,2466.65,USD,Completed,1686,21.79,KE,0
TXN0000119,OP0055,PLR002467,2023-10-02 12:46:03,Deposit,Mobile Money,798.38,EUR,Completed,6056,11.29,IN,1
TXN0000120,OP0024,PLR007005,2023-05-08 06:16:43,Bonus Credit,Crypto,3916.31,USD,Completed,2253,60.57,PH,0
TXN0000121,OP0054,PLR003237,2024-11-28 13:29:47,Withdrawal,Mobile Money,2012.99,EUR,Completed,3869,39.09,BR,0
TXN0000122,OP0007,PLR006567,2023-02-17 20:07:29,Withdrawal,Mobile Money,703.92,BTC,Failed,,13.01,GB,0
TXN0000123,OP0080,PLR000815,2024-07-31 00:23:27,Deposit,Mobile Money,3240.05,USD,Completed,2138,90.83,DE,1
TXN0000124,OP0066,PLR004937,2024-04-07 04:03:19,Deposit,Card,1156.27,USD,Completed,2134,9.4,AU,0
TXN0000125,OP0020,PLR005134,2023-11-23 17:27:38,Deposit,Card,2823.6,EUR,Completed,5255,25.17,PH,0
TXN0000126,OP0047,PLR006119,2023-03-26 21:11:17,Deposit,Crypto,4550.52,EUR,Completed,829,114.06,DE,0
TXN0000127,OP0022,PLR007822,2023-01-18 18:26:43,Deposit,E-Wallet,261.47,GBP,Pending,,2.26,GB,1
TXN0000128,OP0029,PLR001589,2023-07-31 05:22:53,Deposit,Mobile Money,4147.2,EUR,Completed,275,76.67,NG,0
TXN0000129,OP0005,PLR000007,2024-02-04 04:22:21,Deposit,Card,189.25,INR,Pending,,5.25,GB,0
TXN0000130,OP0057,PLR007676,2024-10-13 17:44:52,Deposit,Mobile Money,1345.09,GBP,Completed,1063,24.83,IN,0
TXN0000131,OP0076,PLR001250,2024-07-23 07:44:44,Bonus Credit,Mobile Money,2830.77,BTC,Completed,1196,30.16,NG,0
TXN0000132,OP0045,PLR004075,2023-03-03 23:08:21,Withdrawal,Mobile Money,4058.71,USD,Completed,1046,97.83,NG,0
TXN0000133,OP0062,PLR002409,2024-10-05 02:59:36,Deposit,E-Wallet,3307.35,USD,Completed,2837,53.46,BR,0
TXN0000134,OP0026,PLR006818,2024-06-20 00:27:59,Deposit,Card,4599.7,USD,Reversed,,62.0,DE,0
TXN0000135,OP0040,PLR004277,2023-02-21 05:26:25,Withdrawal,Bank Transfer,2758.04,EUR,Completed,2162,76.33,DE,0
TXN0000136,OP0053,PLR001024,2023-01-22 16:16:16,Deposit,Bank Transfer,1595.67,USD,Completed,1629,38.22,PH,0
TXN0000137,OP0031,PLR004788,2023-07-06 05:04:55,Deposit,E-Wallet,1638.79,USD,Completed,2774,13.19,AU,0
TXN0000138,OP0005,PLR007099,2023-12-02 06:18:39,Withdrawal,Mobile Money,4297.87,BTC,Completed,2632,87.97,GB,0
TXN0000139,OP0068,PLR002197,2023-10-15 04:32:27,Withdrawal,Crypto,3289.17,USD,Completed,1616,75.28,CA,0
TXN0000140,OP0073,PLR000978,2023-06-22 11:28:43,Refund,E-Wallet,1968.75,USD,Completed,2070,51.11,IN,0
TXN0000141,OP0034,PLR004819,2023-04-28 18:07:13,Deposit,Crypto,716.31,USD,Completed,284,9.27,KE,0
TXN0000142,OP0030,PLR003431,2024-03-24 13:42:15,Deposit,Mobile Money,3947.23,EUR,Failed,,32.72,DE,1
TXN0000143,OP0053,PLR002991,2024-10-14 03:27:59,Deposit,Card,4864.0,EUR,Completed,1982,46.07,GB,0
TXN0000144,OP0033,PLR001771,2023-10-13 19:27:35,Deposit,Mobile Money,1405.49,INR,Completed,3113,20.23,BR,0
TXN0000145,OP0075,PLR001513,2023-01-19 00:30:28,Deposit,Mobile Money,4892.26,USD,Completed,3617,74.68,NG,0
TXN0000146,OP0075,PLR005193,2023-04-17 12:29:03,Deposit,Bank Transfer,1010.97,USD,Completed,2606,11.83,AU,1
TXN0000147,OP0037,PLR002724,2024-10-25 19:05:14,Withdrawal,Bank Transfer,4296.57,USD,Reversed,,67.78,AU,0
TXN0000148,OP0057,PLR005591,2023-06-06 02:15:00,Withdrawal,Bank Transfer,3543.04,USD,Completed,414,83.88,DE,0
TXN0000149,OP0060,PLR007031,2023-01-14 16:17:28,Bonus Credit,Card,792.33,USD,Completed,5467,20.08,IN,0
TXN0000150,OP0042,PLR005804,2024-05-24 08:23:22,Withdrawal,E-Wallet,4364.09,INR,Completed,3361,55.74,IN,0
TXN0000151,OP0064,PLR003295,2023-05-22 05:17:05,Deposit,Card,2049.21,USD,Completed,6973,61.33,CA,0
TXN0000152,OP0010,PLR005967,2024-12-12 06:36:16,Bonus Credit,Card,2569.93,USD,Completed,6289,46.12,AU,0
TXN0000153,OP0034,PLR007138,2023-07-22 16:34:02,Bonus Credit,Card,1835.63,GBP,Completed,2827,30.84,BR,0
TXN0000154,OP0067,PLR007678,2023-04-08 10:32:54,Bonus Credit,Card,2352.0,EUR,Completed,1803,49.52,GB,0
TXN0000155,OP0056,PLR004891,2024-03-29 15:36:41,Deposit,Card,554.6,GBP,Completed,4615,2.86,AU,0
TXN0000156,OP0033,PLR000367,2023-02-03 10:24:48,Deposit,Card,774.27,INR,Completed,4490,17.25,PH,0
TXN0000157,OP0004,PLR006136,2024-11-15 05:00:35,Deposit,E-Wallet,4158.83,USD,Completed,2194,38.25,AU,0
TXN0000158,OP0056,PLR006032,2023-03-10 07:47:31,Deposit,Mobile Money,2504.29,USD,Completed,3187,55.31,CA,0
TXN0000159,OP0060,PLR004713,2024-05-22 20:10:14,Withdrawal,Card,4479.0,GBP,Pending,,25.07,CA,0
TXN0000160,OP0033,PLR001630,2024-07-28 04:39:02,Withdrawal,Card,1721.98,USD,Completed,4434,10.81,NG,0
TXN0000161,OP0036,PLR006091,2023-09-25 22:04:33,Withdrawal,Mobile Money,4756.62,BTC,Completed,7034,67.5,GB,1
TXN0000162,OP0014,PLR000944,2023-11-26 21:22:20,Withdrawal,Mobile Money,1497.99,EUR,Completed,1436,9.67,NG,0
TXN0000163,OP0062,PLR004943,2023-07-02 13:24:21,Bonus Credit,E-Wallet,4433.06,USD,Completed,990,96.68,BR,0
TXN0000164,OP0006,PLR002796,2023-06-17 12:54:23,Deposit,Mobile Money,932.1,USD,Completed,3083,6.99,KE,0
TXN0000165,OP0068,PLR005417,2023-06-25 11:46:26,Deposit,Mobile Money,624.18,USD,Pending,,14.2,ZA,0
TXN0000166,OP0053,PLR002514,2024-05-16 00:57:58,Withdrawal,E-Wallet,3465.4,EUR,Completed,3978,79.58,IN,1
TXN0000167,OP0073,PLR005857,2024-12-21 03:13:06,Withdrawal,Card,1552.89,BTC,Completed,3584,14.83,PH,1
TXN0000168,OP0069,PLR000535,2024-07-08 05:38:34,Bonus Credit,Crypto,2701.87,BTC,Completed,5301,67.91,NG,0
TXN0000169,OP0063,PLR007001,2023-08-03 12:51:30,Withdrawal,E-Wallet,3468.41,USD,Completed,5827,76.87,AU,0
TXN0000170,OP0035,PLR003845,2023-11-01 14:49:58,Deposit,E-Wallet,3764.27,USD,Failed,,64.6,KE,0
TXN0000171,OP0063,PLR004410,2023-09-26 03:41:45,Deposit,Crypto,3959.51,USD,Completed,400,41.95,GB,0
TXN0000172,OP0040,PLR006965,2023-05-06 22:44:51,Deposit,Crypto,4069.72,BTC,Completed,1121,82.68,KE,0
TXN0000173,OP0068,PLR006152,2023-05-30 22:02:33,Withdrawal,Card,4676.54,USD,Failed,,38.77,NG,0
TXN0000174,OP0028,PLR007128,2024-04-19 04:48:48,Refund,Card,2416.67,EUR,Completed,2289,45.09,CA,0
TXN0000175,OP0054,PLR000045,2024-10-05 00:33:34,Withdrawal,Mobile Money,1400.38,EUR,Completed,235,32.63,KE,0
TXN0000176,OP0042,PLR005713,2024-09-19 16:31:23,Withdrawal,Crypto,4607.13,BTC,Completed,6075,60.91,BR,1
TXN0000177,OP0075,PLR006133,2023-03-25 16:14:21,Withdrawal,Bank Transfer,3626.63,USD,Completed,1445,96.96,IN,0
TXN0000178,OP0074,PLR003874,2024-11-26 01:21:11,Deposit,Crypto,1380.85,GBP,Completed,3163,23.44,IN,0
TXN0000179,OP0011,PLR001781,2023-07-06 11:06:14,Withdrawal,Crypto,3713.61,EUR,Failed,,85.48,BR,1
TXN0000180,OP0043,PLR007275,2024-08-04 14:38:21,Bonus Credit,Crypto,190.62,USD,Completed,3344,3.2,ZA,0
TXN0000181,OP0065,PLR005470,2023-06-12 04:40:40,Deposit,Mobile Money,3346.41,INR,Completed,401,52.28,ZA,0
TXN0000182,OP0013,PLR003984,2024-11-26 04:40:01,Deposit,E-Wallet,1038.61,INR,Completed,4509,17.06,BR,1
TXN0000183,OP0080,PLR003157,2024-09-19 06:18:27,Deposit,Mobile Money,4633.1,EUR,Completed,863,44.01,PH,0
TXN0000184,OP0054,PLR005900,2024-02-01 06:10:05,Deposit,Bank Transfer,4681.19,INR,Completed,346,88.75,NG,0
TXN0000185,OP0015,PLR002190,2024-08-05 15:46:08,Withdrawal,Bank Transfer,1946.99,GBP,Completed,2375,23.05,NG,0
TXN0000186,OP0014,PLR001711,2024-11-05 09:34:35,Deposit,Crypto,3978.89,GBP,Completed,5657,48.01,IN,0
TXN0000187,OP0017,PLR006585,2023-03-26 17:03:17,Deposit,E-Wallet,3394.39,USD,Completed,2722,80.73,NG,0
TXN0000188,OP0070,PLR007452,2024-12-27 21:13:48,Withdrawal,Crypto,1256.15,USD,Completed,5821,19.0,IN,0
TXN0000189,OP0050,PLR005832,2023-09-19 11:19:33,Deposit,Crypto,4258.43,GBP,Completed,4403,98.98,IN,1
TXN0000190,OP0057,PLR007359,2024-01-03 16:29:26,Bonus Credit,Mobile Money,3475.69,GBP,Failed,,55.7,NG,0
TXN0000191,OP0031,PLR005378,2023-05-10 03:15:59,Deposit,E-Wallet,956.34,USD,Completed,1688,23.24,NG,1
TXN0000192,OP0053,PLR005305,2023-05-26 06:44:40,Deposit,Card,1902.65,GBP,Completed,4194,53.19,NG,1
TXN0000193,OP0066,PLR004820,2024-01-10 14:17:11,Deposit,Mobile Money,1988.13,EUR,Completed,5335,59.43,PH,1
TXN0000194,OP0069,PLR002469,2023-03-06 02:51:34,Withdrawal,Bank Transfer,1011.92,EUR,Reversed,,20.6,IN,0
TXN0000195,OP0038,PLR003268,2024-01-12 04:34:31,Deposit,E-Wallet,4913.6,GBP,Completed,5977,44.36,DE,0
TXN0000196,OP0067,PLR006833,2024-04-08 01:16:22,Deposit,Mobile Money,1989.32,GBP,Completed,7127,38.84,NG,0
TXN0000197,OP0004,PLR007299,2024-04-27 08:16:32,Withdrawal,Crypto,135.86,GBP,Completed,936,1.87,KE,1
TXN0000198,OP0005,PLR007622,2024-07-29 03:50:03,Refund,Bank Transfer,4052.04,BTC,Completed,778,33.1,AU,0
TXN0000199,OP0066,PLR007640,2023-08-20 02:58:28,Withdrawal,Card,393.24,INR,Completed,3913,7.1,IN,0
TXN0000200,OP0059,PLR004578,2023-04-21 13:52:33,Deposit,E-Wallet,3275.26,BTC,Failed,,37.74,GB,0
TXN0000201,OP0032,PLR007985,2023-03-21 06:23:29,Withdrawal,Bank Transfer,1663.07,USD,Completed,6314,40.96,IN,0
TXN0000202,OP0021,PLR004427,2023-04-12 13:01:31,Withdrawal,Bank Transfer,2791.67,BTC,Completed,3985,36.15,PH,0
TXN0000203,OP0014,PLR003592,2024-11-24 21:57:57,Deposit,Mobile Money,3945.93,GBP,Completed,1151,60.5,AU,0
TXN0000204,OP0001,PLR002489,2023-11-10 10:38:10,Deposit,Card,384.72,INR,Pending,,6.64,NG,0
TXN0000205,OP0067,PLR001088,2024-10-26 17:48:11,Deposit,Card,4428.22,INR,Completed,5679,122.81,NG,0
TXN0000206,OP0014,PLR006424,2024-04-28 00:57:35,Withdrawal,Mobile Money,632.29,GBP,Completed,5829,13.1,NG,1
TXN0000207,OP0045,PLR005725,2023-08-14 09:31:09,Deposit,Crypto,4968.86,GBP,Reversed,,49.89,KE,0
