game_id,game_name,provider,game_type,rtp_pct,volatility,mobile_ready,live_dealer,launch_date,is_active,has_bonus_round,min_bet_usd,max_bet_usd
GM00028,Game_00028,Spribe,Virtual Sports,93.89,High,1,0,2018-02-25,1,1,1.0,100
GM00029,Game_00029,Relax Gaming,Virtual Sports,97.58,Medium,1,0,2023-03-19,1,1,0.1,100
GM00030,Game_00030,Pragmatic Play,Slots,93.81,Low,1,0,2024-08-25,1,1,0.5,5000
GM00031,Game_00031,Play n GO,Live Casino,97.7,Medium,0,1,2021-07-24,1,1,0.5,5000
GM00032,Game_00032,NetEnt,Virtual Sports,97.65,Medium,1,0,2023-06-25,1,0,1.0,1000
GM00033,Game_00033,Evolution,Slots,93.68,Low,1,0,2021-06-25,1,0,1.0,500
GM00034,Game_00034,Microgaming,Virtual Sports,95.85,High,1,0,2018-06-06,1,0,0.5,500
GM00035,Game_00035,Evolution,Live Casino,97.26,Low,1,1,2021-10-06,1,0,1.0,500
GM00036,Game_00036,Hacksaw,Crash,93.25,Medium,0,0,2022-04-14,1,1,0.1,5000
GM00037,Game_00037,Pragmatic Play,Slots,94.24,Medium,1,0,2019-04-09,1,1,0.1,250
GM00038,Game_00038,Microgaming,Live Casino,96.9,Medium,0,1,2018-10-11,1,0,0.5,1000
GM00039,Game_00039,Playtech,Slots,97.5,High,1,0,2020-11-01,1,1,0.5,1000
GM00040,Game_00040,NetEnt,Slots,97.32,Medium,1,0,2022-11-12,1,0,0.1,250
GM00041,Game_00041,Hacksaw,Table Games,94.92,Low,1,0,2024-02-24,1,0,0.5,1000
GM00042,Game_00042,Relax Gaming,Slots,96.08,Medium,1,0,2021-02-10,1,1,0.1,5000
GM00043,Game_00043,Pragmatic Play,Slots,97.68,High,1,0,2024-01-14,1,1,1.0,100
GM00044,Game_00044,BGaming,Live Casino,98.61,Medium,1,1,2024-04-21,1,1,0.2,5000
GM00045,Game_00045,Evolution,Crash,97.9,Low,1,0,2018-12-12,1,0,0.1,500
GM00046,Game_00046,Relax Gaming,Table Games,97.91,High,1,0,2022-11-22,1,1,0.5,100
GM00047,Game_00047,Play n GO,Crash,97.76,Medium,1,0,2019-10-28,0,0,0.2,100
GM00048,Game_00048,Play n GO,Live Casino,98.31,High,0,1,2024-05-09,1,1,0.2,500
GM00049,Game_00049,Evolution,Slots,98.32,Medium,0,0,2020-02-28,1,0,1.0,5000
GM00050,Game_00050,Microgaming,Crash,93.0,Low,1,0,2021-04-24,1,1,1.0,500
GM00051,Game_00051,Spribe,Slots,94.74,Medium,1,0,2021-08-03,1,1,0.5,250
GM00052,Game_00052,Pragmatic Play,Slots,92.21,Low,1,0,2019-04-15,1,0,1.0,100
GM00053,Game_00053,Pragmatic Play,Live Casino,97.11,High,1,1,2024-05-07,1,1,0.1,100
GM00054,Game_00054,Evolution,Virtual Sports,94.09,High,1,0,2023-12-12,1,0,1.0,1000
GM00055,Game_00055,Spribe,Crash,97.18,Medium,1,0,2020-04-08,1,1,0.5,500
GM00056,Game_00056,Microgaming,Crash,95.72,Medium,1,0,2024-08-21,1,1,0.5,250
GM00057,Game_00057,Relax Gaming,Crash,96.63,Medium,0,0,2018-04-19,1,0,1.0,500
GM00058,Game_00058,Microgaming,Table Games,92.31,High,1,0,2022-03-26,1,1,0.5,100
GM00059,Game_00059,NetEnt,Virtual Sports,93.51,Low,1,0,2023-04-18,1,1,0.5,1000
GM00060,Game_00060,Playtech,Virtual Sports,92.97,Medium,1,0,2021-09-18,1,0,1.0,1000
GM00061,Game_00061,Pragmatic Play,Slots,95.39,High,1,0,2022-07-25,1,1,0.1,100
GM00062,Game_00062,Microgaming,Virtual Sports,97.65,Medium,1,0,2021-10-11,1,0,1.0,100
GM00063,Game_00063,Playtech,Crash,98.06,Low,1,0,2022-11-28,1,0,0.2,100
GM00064,Game_00064,Relax Gaming,Table Games,97.0,Low,1,0,2019-08-22,1,1,0.5,500
GM00065,Game_00065,NetEnt,Table Games,94.18,High,1,0,2021-11-29,1,0,0.5,100
GM00066,Game_00066,Hacksaw,Live Casino,97.18,Medium,0,1,2019-06-05,1,0,0.1,250
GM00067,Game_00067,Spribe,Slots,97.95,Low,1,0,2020-07-23,1,1,0.2,1000
GM00068,Game_00068,Hacksaw,Crash,96.97,Low,0,0,2018-10-19,1,1,0.2,100
GM00069,Game_00069,Evolution,Slots,95.42,Low,1,0,2024-09-03,1,0,0.2,1000
GM00070,Game_00070,BGaming,Live Casino,99.14,High,1,1,2022-02-02,1,0,0.1,500
GM00071,Game_00071,Microgaming,Virtual Sports,94.27,Low,0,0,2023-10-04,1,0,1.0,1000
GM00072,Game_00072,Play n GO,Live Casino,96.34,High,0,1,2021-02-24,1,1,0.1,100
GM00073,Game_00073,Play n GO,Live Casino,97.38,Medium,1,1,2023-09-04,1,0,0.5,100
GM00074,Game_00074,Play n GO,Table Games,96.49,Medium,0,0,2018-12-10,1,0,0.1,1000
GM00075,Game_00075,Playtech,Virtual Sports,95.96,Medium,1,0,2024-07-08,1,1,1.0,100
GM00076,Game_00076,Playtech,Virtual Sports,96.19,Low,1,0,2024-07-30,1,0,1.0,100
GM00077,Game_00077,Evolution,Table Games,94.52,Low,0,0,2019-10-15,0,1,1.0,250
GM00078,Game_00078,Hacksaw,Slots,94.89,Medium,1,0,2024-03-02,1,1,0.2,5000
GM00079,Game_00079,Playtech,Slots,97.33,Medium,0,0,2023-06-23,1,1,0.2,5000
GM00080,Game_00080,Microgaming,Virtual Sports,95.71,Medium,1,0,2019-08-18,1,1,0.5,5000
GM00081,Game_00081,Play n GO,Table Games,95.34,High,0,0,2021-08-30,1,1,0.5,250
GM00082,Game_00082,NetEnt,Live Casino,97.1,Low,1,1,2020-03-12,1,0,1.0,500
GM00083,Game_00083,NetEnt,Virtual Sports,97.5,High,1,0,2022-02-03,1,1,1.0,5000
GM00084,Game_00084,NetEnt,Live Casino,96.8,High,1,1,2019-12-04,1,1,1.0,250
GM00085,Game_00085,Spribe,Table Games,97.06,High,1,0,2018-01-06,0,1,0.1,250
GM00086,Game_00086,Play n GO,Crash,98.37,High,1,0,2024-03-24,0,0,0.1,100
GM00087,Game_00087,Relax Gaming,Crash,94.86,Medium,0,0,2018-01-16,1,1,1.0,5000
GM00088,Game_00088,Spribe,Slots,98.22,Low,1,0,2020-12-04,1,0,1.0,5000
GM00089,Game_00089,Relax Gaming,Live Casino,99.47,High,0,1,2023-11-16,0,1,0.1,5000
GM00090,Game_00090,Play n GO,Virtual Sports,98.06,High,1,0,2021-03-26,0,1,0.2,5000
GM00091,Game_00091,Play n GO,Slots,94.47,Low,1,0,2019-06-20,1,1,1.0,250
GM00092,Game_00092,Pragmatic Play,Crash,97.31,Medium,1,0,2021-11-26,1,0,0.2,5000
GM00093,Game_00093,Play n GO,Live Casino,99.31,Low,1,1,2018-04-05,1,1,0.5,1000
GM00094,Game_00094,Microgaming,Virtual Sports,95.31,Medium,1,0,2020-03-28,1,1,1.0,5000
GM00095,Game_00095,Evolution,Live Casino,96.27,Medium,0,1,2023-03-17,0,1,0.2,100
GM00096,Game_00096,NetEnt,Live Casino,98.75,High,1,1,2019-08-12,1,1,1.0,1000
GM00097,Game_00097,Play n GO,Crash,95.57,High,1,0,2020-10-13,1,1,0.2,100
GM00098,Game_00098,Spribe,Table Games,92.55,Low,1,0,2020-06-25,1,1,0.1,5000
GM00099,Game_00099,Hacksaw,Live Casino,98.74,High,1,1,2022-03-17,1,1,0.5,1000
GM00100,Game_00100,NetEnt,Table Games,92.05,Medium,0,0,2024-06-23,1,0,0.1,100
GM00101,Game_00101,BGaming,Crash,93.94,Medium,1,0,2024-03-29,1,1,0.2,5000
GM00102,Game_00102,BGaming,Table Games,92.05,Medium,1,0,2023-10-18,0,0,0.2,500
GM00103,Game_00103,Playtech,Live Casino,97.56,High,1,1,2022-04-22,1,1,1.0,5000
GM00104,Game_00104,BGaming,Crash,92.06,Medium,1,0,2019-10-16,1,0,0.2,1000
GM00105,Game_00105,Hacksaw,Live Casino,97.03,Medium,1,1,2021-04-12,1,0,1.0,100
GM00106,Game_00106,Relax Gaming,Slots,92.21,High,1,0,2022-05-11,1,0,1.0,5000
GM00107,Game_00107,Play n GO,Crash,92.69,Medium,1,0,2021-03-29,1,1,0.1,500
GM00108,Game_00108,BGaming,Live Casino,97.11,High,0,1,2023-05-29,1,1,0.2,500
GM00109,Game_00109,Evolution,Slots,95.54,Low,1,0,2023-11-23,1,1,1.0,500
GM00110,Game_00110,Evolution,Live Casino,97.45,High,0,1,2021-04-18,1,0,1.0,5000
GM00111,Game_00111,Playtech,Slots,97.09,High,1,0,2020-11-16,1,1,0.5,5000
GM00112,Game_00112,BGaming,Virtual Sports,95.95,Medium,1,0,2020-09-19,1,1,0.2,5000
GM00113,Game_00113,Spribe,Crash,92.67,High,1,0,2018-07-16,1,1,0.1,250
GM00114,Game_00114,Hacksaw,Slots,93.67,Medium,0,0,2021-04-12,0,1,0.1,5000
GM00115,Game_00115,NetEnt,Table Games,94.03,High,1,0,2021-01-31,1,0,0.1,5000
GM00116,Game_00116,Pragmatic Play,Live Casino,98.24,Medium,0,1,2021-09-18,1,1,0.5,100
GM00117,Game_00117,BGaming,Crash,93.18,Medium,0,0,2022-05-27,1,1,1.0,1000
GM00118,Game_00118,Microgaming,Slots,96.59,Low,0,0,2023-10-17,1,0,1.0,5000
GM00119,Game_00119,Playtech,Slots,93.73,High,1,0,2019-05-21,1,0,1.0,100
GM00120,Game_00120,Evolution,Table Games,95.75,Medium,1,0,2023-09-12,1,0,1.0,100
GM00121,Game_00121,Hacksaw,Live Casino,98.15,Medium,1,1,2020-10-06,1,0,1.0,100
GM00122,Game_00122,BGaming,Table Games,92.05,Medium,1,0,2024-06-10,1,1,0.1,100
GM00123,Game_00123,Evolution,Slots,94.88,Low,1,0,2022-10-15,1,1,0.2,250
GM00124,Game_00124,Evolution,Crash,98.22,High,1,0,2019-04-27,0,0,0.5,250
GM00125,Game_00125,Relax Gaming,Live Casino,98.02,Low,1,1,2019-08-18,1,0,1.0,1000
GM00126,Game_00126,Playtech,Virtual Sports,93.56,Medium,0,0,2022-12-14,1,1,0.5,250
GM00127,Game_00127,Relax Gaming,Table Games,98.11,High,1,0,2022-09-08,1,1,0.2,1000
GM00128,Game_00128,Hacksaw,Virtual Sports,96.63,Low,0,0,2021-06-22,1,1,0.5,1000
GM00129,Game_00129,Microgaming,Crash,96.09,High,1,0,2024-05-25,1,1,0.2,500
GM00130,Game_00130,Play n GO,Live Casino,96.91,High,1,1,2022-05-15,1,0,0.1,500
GM00131,Game_00131,Microgaming,Virtual Sports,93.38,Medium,1,0,2018-07-02,1,1,0.2,500
GM00132,Game_00132,Pragmatic Play,Crash,97.52,Medium,1,0,2021-05-22,1,0,0.2,1000
GM00133,Game_00133,Evolution,Live Casino,99.07,Low,1,1,2019-02-20,0,1,0.2,250
GM00134,Game_00134,NetEnt,Slots,93.48,Medium,1,0,2020-04-17,1,0,0.5,100
GM00135,Game_00135,BGaming,Slots,93.7,Medium,1,0,2018-10-08,1,0,0.2,500
GM00136,Game_00136,Relax Gaming,Table Games,95.83,Low,1,0,2020-11-10,1,0,0.1,100
GM00137,Game_00137,Spribe,Slots,97.14,Medium,1,0,2020-05-06,1,0,0.5,100
GM00138,Game_00138,Microgaming,Crash,97.31,High,1,0,2020-05-09,1,0,0.5,100
GM00139,Game_00139,Play n GO,Table Games,93.44,Medium,1,0,2020-02-07,0,1,0.1,1000
GM00140,Game_00140,NetEnt,Live Casino,97.84,Medium,0,1,2019-04-28,1,0,0.5,1000
GM00141,Game_00141,Playtech,Virtual Sports,95.97,Medium,1,0,2018-07-05,1,1,0.5,250
GM00142,Game_00142,Relax Gaming,Table Games,98.0,Medium,1,0,2019-01-18,1,1,1.0,1000
GM00143,Game_00143,Evolution,Virtual Sports,93.31,High,1,0,2022-12-01,1,0,0.5,5000
GM00144,Game_00144,Microgaming,Table Games,94.92,Medium,1,0,2021-03-22,1,1,0.2,100
GM00145,Game_00145,Spribe,Virtual Sports,96.48,Medium,0,0,2023-05-05,1,1,0.5,1000
GM00146,Game_00146,Hacksaw,Virtual Sports,95.36,Medium,1,0,2019-02-15,1,1,0.1,1000
GM00147,Game_00147,NetEnt,Live Casino,98.66,High,1,1,2019-06-07,0,1,0.2,250
GM00148,Game_00148,Pragmatic Play,Live Casino,97.97,Low,1,1,2020-01-04,1,1,0.5,100
GM00149,Game_00149,Play n GO,Table Games,93.99,High,1,0,2022-07-08,1,1,0.5,100
GM00150,Game_00150,Playtech,Table Games,95.48,Low,1,0,2019-10-23,1,1,0.2,1000
GM00151,Game_00151,BGaming,Live Casino,97.12,Medium,1,1,2020-10-17,0,0,0.1,5000
GM00152,Game_00152,Spribe,Virtual Sports,95.23,Medium,1,0,2023-11-07,1,0,0.1,250
GM00153,Game_00153,Pragmatic Play,Crash,98.1,Medium,1,0,2023-05-14,1,1,1.0,1000
GM00154,Game_00154,Playtech,Crash,97.73,High,1,0,2019-06-28,1,0,0.2,100
GM00155,Game_00155,Evolution,Table Games,92.33,High,0,0,2021-04-30,1,0,0.1,250
GM00156,Game_00156,BGaming,Slots,94.38,Medium,1,0,2023-03-23,1,1,0.1,5000
GM00157,Game_00157,Relax Gaming,Live Casino,98.67,High,1,1,2020-11-23,1,0,0.2,1000
GM00158,Game_00158,Relax Gaming,Table Games,96.98,Medium,0,0,2022-05-11,0,1,1.0,100
GM00159,Game_00159,Playtech,Live Casino,98.29,High,0,1,2019-10-22,1,0,0.2,5000
GM00160,Game_00160,Hacksaw,Virtual Sports,94.39,Medium,1,0,2023-06-19,1,0,0.5,100
GM00161,Game_00161,Pragmatic Play,Virtual Sports,94.94,Medium,1,0,2020-03-26,1,0,0.5,5000
GM00162,Game_00162,Pragmatic Play,Slots,95.71,Medium,1,0,2019-01-27,1,0,0.1,5000
GM00163,Game_00163,Playtech,Virtual Sports,97.34,High,0,0,2022-07-05,1,1,0.2,500
GM00164,Game_00164,Microgaming,Slots,95.69,High,1,0,2019-12-24,1,0,0.1,250
GM00165,Game_00165,BGaming,Table Games,93.17,Medium,1,0,2019-02-23,1,1,0.1,5000
GM00166,Game_00166,Relax Gaming,Slots,96.65,High,1,0,2021-10-22,0,0,0.5,500
GM00167,Game_00167,NetEnt,Virtual Sports,96.08,Low,1,0,2019-12-30,1,1,0.2,500
GM00168,Game_00168,Microgaming,Slots,94.21,Medium,1,0,2018-06-23,1,0,1.0,250
GM00169,Game_00169,Evolution,Virtual Sports,95.07,Low,1,0,2022-02-07,1,0,1.0,5000
GM00170,Game_00170,NetEnt,Live Casino,97.28,High,1,1,2021-01-23,1,0,0.2,100
GM00171,Game_00171,BGaming,Table Games,95.35,Medium,1,0,2022-10-25,1,0,0.5,250
GM00172,Game_00172,Microgaming,Live Casino,99.31,High,0,1,2019-12-09,0,1,0.2,5000
GM00173,Game_00173,Relax Gaming,Crash,92.63,Low,1,0,2022-01-14,1,0,0.1,5000
GM00174,Game_00174,Spribe,Table Games,94.59,Medium,1,0,2021-08-24,1,1,0.1,250
GM00175,Game_00175,Spribe,Virtual Sports,92.44,High,1,0,2021-08-02,1,0,1.0,250
GM00176,Game_00176,Play n GO,Table Games,97.77,High,1,0,2022-07-01,1,0,0.5,250
GM00177,Game_00177,Pragmatic Play,Live Casino,96.14,Low,1,1,2021-10-07,1,0,1.0,250
GM00178,Game_00178,Relax Gaming,Table Games,93.36,Medium,1,0,2020-06-09,1,0,0.2,1000
GM00179,Game_00179,NetEnt,Slots,95.07,Medium,0,0,2019-04-27,1,0,0.5,100
GM00180,Game_00180,Evolution,Slots,94.2,High,1,0,2018-10-12,0,1,0.1,250
GM00181,Game_00181,Evolution,Live Casino,98.01,High,1,1,2018-03-26,1,1,1.0,500
GM00182,Game_00182,Spribe,Crash,92.4,Low,0,0,2019-11-13,1,0,1.0,250
GM00183,Game_00183,Play n GO,Slots,94.09,Low,1,0,2018-06-10,1,0,0.5,1000
GM00184,Game_00184,Microgaming,Table Games,95.06,Medium,1,0,2019-01-14,1,0,0.2,5000
GM00185,Game_00185,NetEnt,Slots,96.45,Low,0,0,2022-06-18,0,1,0.5,500
GM00186,Game_00186,Hacksaw,Live Casino,96.48,Medium,1,1,2021-11-28,1,1,0.2,250
GM00187,Game_00187,Spribe,Crash,96.43,Low,1,0,2018-12-16,1,1,0.2,1000
GM00188,Game_00188,Microgaming,Live Casino,97.35,Low,1,1,2023-08-18,1,1,1.0,500
GM00189,Game_00189,Pragmatic Play,Live Casino,96.73,Low,0,1,2019-01-08,1,1,0.5,5000
GM00190,Game_00190,Microgaming,Crash,93.95,Low,1,0,2023-09-09,1,0,0.2,250
GM00191,Game_00191,Hacksaw,Live Casino,96.46,High,0,1,2021-08-09,1,0,0.1,100
GM00192,Game_00192,BGaming,Table Games,97.64,High,1,0,2023-04-09,1,1,1.0,250
GM00193,Game_00193,Play n GO,Slots,92.98,Medium,1,0,2019-07-13,1,0,1.0,5000
GM00194,Game_00194,Spribe,Crash,92.29,Medium,1,0,2023-05-14,1,1,0.1,100
GM00195,Game_00195,Evolution,Virtual Sports,95.76,Medium,1,0,2018-09-23,1,0,1.0,500
GM00196,Game_00196,Spribe,Virtual Sports,94.43,Medium,1,0,2021-07-12,1,1,0.2,1000
GM00197,Game_00197,Hacksaw,Crash,98.44,Medium,1,0,2019-10-14,1,1,0.5,1000
GM00198,Game_00198,NetEnt,Table Games,94.16,Low,1,0,2022-07-04,1,0,1.0,500
GM00199,Game_00199,NetEnt,Slots,97.51,Medium,1,0,2024-04-05,1,0,0.2,250
GM00200,Game_00200,Play n GO,Live Casino,97.66,Medium,1,1,2023-01-04,1,0,0.2,100
GM00201,Game_00201,Pragmatic Play,Table Games,93.75,Medium,1,0,2019-12-19,1,0,0.5,100
GM00202,Game_00202,BGaming,Crash,95.25,Medium,0,0,2019-11-27,0,0,1.0,1000
GM00203,Game_00203,Playtech,Live Casino,97.15,Low,1,1,2019-06-24,1,0,0.2,250
GM00204,Game_00204,Spribe,Table Games,98.01,High,1,0,2019-12-06,1,1,0.1,5000
GM00205,Game_00205,NetEnt,Virtual Sports,93.21,Medium,1,0,2018-06-10,1,1,0.2,250
GM00206,Game_00206,Spribe,Crash,94.76,Low,1,0,2023-05-27,0,0,0.5,1000
GM00207,Game_00207,Evolution,Live Casino,97.02,Medium,1,1,2024-08-03,1,0,0.5,500
GM00208,Game_00208,BGaming,Table Games,94.55,Low,1,0,2021-06-02,1,0,0.5,500
GM00209,Game_00209,Play n GO,Slots,93.6,High,1,0,2022-06-28,1,1,0.2,500
GM00210,Game_00210,Relax Gaming,Live Casino,99.11,Medium,0,1,2018-01-08,1,0,0.5,500
GM00211,Game_00211,Play n GO,Live Casino,98.28,Low,1,1,2023-01-21,1,0,0.5,500
GM00212,Game_00212,Playtech,Slots,97.94,Medium,1,0,2018-04-22,1,1,0.2,500
GM00213,Game_00213,Microgaming,Slots,92.92,Low,1,0,2023-01-07,1,0,0.5,250
GM00214,Game_00214,Pragmatic Play,Slots,97.1,High,1,0,2023-05-23,1,1,1.0,1000
GM00215,Game_00215,Relax Gaming,Virtual Sports,96.87,Medium,0,0,2021-08-12,1,1,0.5,100
GM00216,Game_00216,Hacksaw,Crash,93.25,Low,0,0,2020-10-18,1,1,1.0,5000
GM00217,Game_00217,NetEnt,Slots,95.44,Low,1,0,2020-04-12,1,1,0.5,100
GM00218,Game_00218,Microgaming,Virtual Sports,92.24,Medium,1,0,2022-07-02,1,1,0.5,5000
GM00219,Game_00219,Microgaming,Live Casino,97.75,Medium,1,1,2021-12-12,1,1,0.5,5000
GM00220,Game_00220,Play n GO,Table Games,96.13,Medium,0,0,2021-01-31,1,0,1.0,1000
GM00221,Game_00221,Play n GO,Table Games,95.81,High,1,0,2021-06-04,1,1,1.0,1000
GM00222,Game_00222,Evolution,Table Games,95.95,Medium,1,0,2022-09-23,1,1,0.5,100
GM00223,Game_00223,Evolution,Table Games,92.31,Medium,1,0,2024-09-08,1,1,0.1,250
GM00224,Game_00224,Hacksaw,Crash,98.34,Medium,0,0,2022-08-19,1,1,0.2,100
GM00225,Game_00225,Hacksaw,Live Casino,96.22,Medium,1,1,2019-03-31,1,0,0.2,100
GM00226,Game_00226,Spribe,Slots,93.71,Low,0,0,2021-03-27,1,1,1.0,100
GM00227,Game_00227,Microgaming,Slots,94.81,High,1,0,2024-05-10,1,1,0.2,250
GM00228,Game_00228,BGaming,Virtual Sports,97.69,High,1,0,2021-10-09,1,0,0.1,100
GM00229,Game_00229,Microgaming,Crash,97.13,Medium,1,0,2022-10-09,1,1,0.1,5000
GM00230,Game_00230,Play n GO,Table Games,98.49,High,1,0,2022-04-15,1,1,0.5,500
GM00231,Game_00231,Evolution,Live Casino,96.8,Medium,1,1,2019-10-12,1,1,0.1,1000
GM00232,Game_00232,Playtech,Live Casino,97.33,Medium,1,1,2020-12-18,1,1,0.5,5000
GM00233,Game_00233,Spribe,Table Games,94.51,Medium,1,0,2023-08-18,1,1,0.2,5000
GM00234,Game_00234,Hacksaw,Virtual Sports,97.75,Low,1,0,2022-11-19,1,1,0.1,100
GM00235,Game_00235,Pragmatic Play,Virtual Sports,97.41,Low,1,0,2020-06-24,1,1,1.0,100
GM00236,Game_00236,Pragmatic Play,Slots,95.34,Low,0,0,2021-03-24,1,1,0.1,5000
GM00237,Game_00237,Evolution,Virtual Sports,93.98,High,1,0,2020-01-14,1,1,0.1,500
GM00238,Game_00238,Evolution,Crash,97.82,Low,1,0,2018-04-24,1,1,0.2,100
GM00239,Game_00239,Hacksaw,Table Games,98.14,High,1,0,2021-11-16,1,1,0.5,100
GM00240,Game_00240,Playtech,Virtual Sports,93.83,High,1,0,2019-08-12,1,0,1.0,250
GM00241,Game_00241,Microgaming,Table Games,96.06,Medium,1,0,2024-04-15,1,1,1.0,250
GM00242,Game_00242,Microgaming,Slots,97.08,High,1,0,2021-10-06,1,0,0.2,250
GM00243,Game_00243,Microgaming,Virtual Sports,97.01,Low,1,0,2021-02-22,1,0,1.0,1000
GM00244,Game_00244,Evolution,Slots,93.13,Medium,0,0,2024-09-09,1,1,0.2,5000
GM00245,Game_00245,Play n GO,Live Casino,96.44,Medium,1,1,2023-07-21,0,1,0.2,1000
GM00246,Game_00246,Hacksaw,Slots,93.4,Low,0,0,2023-03-24,1,1,0.2,500
GM00247,Game_00247,Hacksaw,Crash,97.97,Medium,1,0,2018-11-16,1,1,1.0,1000
GM00248,Game_00248,Playtech,Crash,94.25,Low,1,0,2020-07-05,1,0,0.1,100
GM00249,Game_00249,Hacksaw,Table Games,95.15,Medium,0,0,2019-10-15,1,0,0.5,5000
GM00250,Game_00250,BGaming,Table Games,92.28,Low,1,0,2020-03-20,1,1,0.5,1000
GM00251,Game_00251,Evolution,Live Casino,98.56,Low,1,1,2019-10-19,1,1,0.5,5000
GM00252,Game_00252,Playtech,Crash,92.78,Medium,1,0,2022-12-04,1,0,0.1,100
GM00253,Game_00253,Play n GO,Live Casino,99.47,High,1,1,2023-01-20,1,0,1.0,5000
GM00254,Game_00254,Play n GO,Crash,93.73,Medium,1,0,2024-01-31,0,1,0.2,500
GM00255,Game_00255,Relax Gaming,Table Games,97.16,Medium,1,0,2019-10-23,1,0,1.0,1000
GM00256,Game_00256,Microgaming,Table Games,97.11,High,1,0,2023-12-05,1,0,0.2,500
GM00257,Game_00257,Playtech,Live Casino,96.64,Medium,1,1,2022-12-15,1,0,0.1,5000
GM00258,Game_00258,Spribe,Virtual Sports,94.72,Medium,1,0,2018-05-07,1,0,1.0,500
GM00259,Game_00259,Relax Gaming,Live Casino,97.18,High,0,1,2019-11-27,1,0,0.2,1000
GM00260,Game_00260,Microgaming,Live Casino,96.47,High,0,1,2018-03-31,1,0,0.1,5000
GM00261,Game_00261,Pragmatic Play,Slots,93.32,High,1,0,2020-08-14,1,1,0.1,250
GM00262,Game_00262,NetEnt,Live Casino,96.32,Medium,1,1,2018-08-20,0,0,0.5,100
GM00263,Game_00263,Pragmatic Play,Virtual Sports,96.6,Low,1,0,2019-03-28,1,1,0.1,250
GM00264,Game_00264,Pragmatic Play,Crash,95.65,High,1,0,2023-03-01,1,1,1.0,5000
GM00265,Game_00265,Relax Gaming,Table Games,97.56,Low,1,0,2019-07-01,0,1,0.1,1000
GM00266,Game_00266,Pragmatic Play,Live Casino,97.13,Medium,1,1,2019-12-14,1,1,0.1,100
GM00267,Game_00267,Microgaming,Crash,93.21,High,1,0,2020-08-05,1,0,0.2,250
GM00268,Game_00268,Play n GO,Crash,92.63,Medium,1,0,2020-02-12,1,1,0.1,1000
GM00269,Game_00269,Playtech,Crash,97.29,High,1,0,2024-01-02,1,1,0.5,500
GM00270,Game_00270,Relax Gaming,Table Games,95.36,Medium,1,0,2019-11-25,1,1,0.2,1000
GM00271,Game_00271,BGaming,Live Casino,98.71,Low,1,1,2024-03-23,1,0,1.0,5000
