bet_id,operator_id,player_id,bet_date,sport,market_type,bet_type,stake_usd,odds,potential_payout_usd,status,actual_payout_usd,operator_margin_usd,live_bet,country
BET0000023,OP0064,PLR003173,2023-09-12,Rugby,Both Teams Score,Single,190.47,14.97,2851.34,Lost,0,190.47,1,IN
BET0000024,OP0007,PLR003571,2024-01-22,Baseball,Over/Under,Single,350.55,13.39,4693.86,Won,4693.86,-4343.31,0,DE
BET0000025,OP0019,PLR000804,2023-02-05,Baseball,Both Teams Score,System,412.86,10.0,4128.6,Won,4128.6,-3715.74,1,NG
BET0000026,OP0038,PLR007128,2024-11-25,Cricket,First Goal Scorer,Single,105.27,14.06,1480.1,Won,1480.1,-1374.83,0,KE
BET0000027,OP0007,PLR006312,2023-05-31,Cricket,First Goal Scorer,Single,296.12,2.28,675.15,Lost,0,296.12,0,NG
BET0000028,OP0001,PLR000799,2023-01-22,Rugby,Correct Score,Accumulator,473.57,8.9,4214.77,Lost,0,473.57,1,IN
BET0000029,OP0077,PLR001129,2023-05-12,Basketball,Asian Handicap,Single,61.62,12.59,775.8,Void,61.62,0.0,1,IN
BET0000030,OP0029,PLR000773,2023-03-29,Esports,Both Teams Score,Accumulator,261.76,1.86,486.87,Void,261.76,0.0,0,KE
BET0000031,OP0011,PLR003073,2024-09-04,Esports,Asian Handicap,Single,97.12,10.61,1030.44,Won,1030.44,-933.32,0,ZA
BET0000032,OP0037,PLR002513,2023-07-01,Basketball,Over/Under,Single,145.76,9.75,1421.16,Lost,0,145.76,1,KE
BET0000033,OP0033,PLR007149,2023-10-22,Cricket,Both Teams Score,Accumulator,31.16,8.75,272.65,Lost,0,31.16,0,IN
BET0000034,OP0039,PLR004194,2023-09-23,Cricket,Both Teams Score,Single,412.58,12.24,5049.98,Won,5049.98,-4637.4,0,ZA
BET0000035,OP0007,PLR000278,2024-05-02,Tennis,Correct Score,Single,363.07,5.51,2000.52,Lost,0,363.07,1,NG
BET0000036,OP0070,PLR004409,2024-10-10,Football,First Goal Scorer,Single,342.2,4.06,1389.33,Won,1389.33,-1047.13,0,CA
BET0000037,OP0072,PLR002760,2024-10-20,Baseball,Match Winner,Accumulator,41.64,14.27,594.2,Lost,0,41.64,0,IN
BET0000038,OP0060,PLR003711,2024-11-23,Basketball,First Goal Scorer,Accumulator,209.41,4.94,1034.49,Lost,0,209.41,1,ZA
BET0000039,OP0047,PLR000855,2024-08-06,Football,Over/Under,Single,223.12,4.68,1044.2,Lost,0,223.12,1,NG
BET0000040,OP0069,PLR004566,2024-07-02,Basketball,Over/Under,System,49.71,14.4,715.82,Pending,0,49.71,1,BR
BET0000041,OP0037,PLR004704,2024-03-08,Cricket,Over/Under,Single,111.91,4.11,459.95,Lost,0,111.91,0,NG
BET0000042,OP0033,PLR006448,2023-03-21,Football,Match Winner,Accumulator,418.46,13.99,5854.26,Lost,0,418.46,1,BR
BET0000043,OP0037,PLR003405,2023-09-29,Esports,Both Teams Score,Single,64.33,7.11,457.39,Lost,0,64.33,0,NG
BET0000044,OP0027,PLR002274,2024-07-30,Esports,Both Teams Score,Single,465.69,10.28,4787.29,Lost,0,465.69,0,AU
BET0000045,OP0074,PLR001285,2023-12-06,Football,Match Winner,Single,4.29,10.17,43.63,Lost,0,4.29,1,BR
BET0000046,OP0012,PLR006755,2024-05-27,Esports,Correct Score,Single,329.87,10.23,3374.57,Lost,0,329.87,1,KE
BET0000047,OP0052,PLR000033,2024-10-05,Basketball,First Goal Scorer,Single,179.93,1.33,239.31,Won,239.31,-59.38,0,NG
BET0000048,OP0007,PLR002434,2023-10-30,Basketball,Both Teams Score,Single,354.34,3.56,1261.45,Won,1261.45,-907.11,1,CA
BET0000049,OP0020,PLR004108,2024-08-30,Baseball,Correct Score,Accumulator,465.84,1.47,684.78,Lost,0,465.84,1,NG
BET0000050,OP0052,PLR001706,2024-08-24,Rugby,Both Teams Score,Single,275.77,11.03,3041.74,Lost,0,275.77,0,KE
BET0000051,OP0077,PLR004791,2023-02-03,Cricket,Both Teams Score,Single,462.28,11.5,5316.22,Lost,0,462.28,0,CA
BET0000052,OP0066,PLR002226,2023-05-21,Basketball,Over/Under,Single,393.99,4.67,1839.93,Pending,0,393.99,0,IN
BET0000053,OP0065,PLR000395,2024-12-22,Football,Asian Handicap,Single,303.77,13.9,4222.4,Won,4222.4,-3918.63,1,NG
BET0000054,OP0012,PLR003565,2024-07-29,Tennis,Match Winner,Single,345.34,2.0,690.68,Lost,0,345.34,1,NG
BET0000055,OP0052,PLR002631,2024-05-04,Football,Correct Score,Single,306.51,5.69,1744.04,Won,1744.04,-1437.53,0,CA
BET0000056,OP0077,PLR003655,2023-09-23,Esports,Correct Score,Accumulator,476.81,2.05,977.46,Lost,0,476.81,0,NG
BET0000057,OP0052,PLR000257,2023-01-23,Rugby,Over/Under,System,404.84,2.46,995.91,Won,995.91,-591.07,0,NG
BET0000058,OP0044,PLR007148,2023-04-20,Tennis,First Goal Scorer,Single,289.62,12.24,3544.95,Won,3544.95,-3255.33,1,CA
BET0000059,OP0002,PLR001742,2024-12-27,Baseball,Match Winner,Accumulator,106.63,2.91,310.29,Lost,0,106.63,0,DE
BET0000060,OP0045,PLR003077,2024-07-10,Rugby,First Goal Scorer,Single,125.34,5.45,683.1,Void,125.34,0.0,1,DE
BET0000061,OP0066,PLR003590,2023-12-28,Baseball,Correct Score,Single,128.74,9.39,1208.87,Lost,0,128.74,1,BR
BET0000062,OP0031,PLR006483,2024-05-21,Rugby,First Goal Scorer,Single,141.8,4.8,680.64,Lost,0,141.8,0,CA
BET0000063,OP0051,PLR007643,2023-11-29,Esports,Correct Score,Single,366.37,11.88,4352.48,Void,366.37,0.0,1,ZA
BET0000064,OP0030,PLR006019,2024-04-14,Baseball,Over/Under,Single,378.36,7.69,2909.59,Lost,0,378.36,0,AU
BET0000065,OP0012,PLR002671,2023-10-30,Rugby,Both Teams Score,Single,185.53,5.26,975.89,Lost,0,185.53,0,NG
BET0000066,OP0002,PLR001963,2023-12-07,Esports,First Goal Scorer,Single,496.63,7.55,3749.56,Pending,0,496.63,0,KE
BET0000067,OP0080,PLR002378,2024-08-19,Esports,Match Winner,Single,266.55,7.05,1879.18,Won,1879.18,-1612.63,1,CA
BET0000068,OP0015,PLR004776,2023-07-12,Rugby,First Goal Scorer,Accumulator,324.63,1.46,473.96,Won,473.96,-149.33,1,ZA
BET0000069,OP0035,PLR004432,2023-08-03,Basketball,Asian Handicap,Accumulator,285.45,12.45,3553.85,Won,3553.85,-3268.4,0,AU
BET0000070,OP0059,PLR001985,2024-03-13,Basketball,Both Teams Score,Accumulator,235.44,10.75,2530.98,Won,2530.98,-2295.54,0,AU
BET0000071,OP0077,PLR002189,2023-02-16,Rugby,First Goal Scorer,Single,387.23,3.9,1510.2,Lost,0,387.23,1,KE
BET0000072,OP0030,PLR005032,2023-02-21,Rugby,Asian Handicap,Accumulator,135.25,11.72,1585.13,Lost,0,135.25,0,GB
BET0000073,OP0008,PLR002336,2023-12-24,Football,Match Winner,Accumulator,249.85,4.92,1229.26,Lost,0,249.85,1,ZA
BET0000074,OP0067,PLR003487,2024-12-02,Esports,First Goal Scorer,Single,421.17,11.71,4931.9,Won,4931.9,-4510.73,0,ZA
BET0000075,OP0005,PLR006051,2024-04-11,Baseball,Asian Handicap,Single,213.35,5.07,1081.68,Pending,0,213.35,0,DE
BET0000076,OP0034,PLR003070,2023-06-19,Football,Both Teams Score,Single,99.31,3.74,371.42,Won,371.42,-272.11,0,CA
BET0000077,OP0024,PLR002687,2023-10-10,Tennis,Match Winner,Accumulator,101.64,2.66,270.36,Lost,0,101.64,0,NG
BET0000078,OP0007,PLR007243,2023-02-24,Basketball,Match Winner,Single,129.04,12.74,1643.97,Lost,0,129.04,0,BR
BET0000079,OP0057,PLR002587,2024-02-27,Cricket,Correct Score,Single,151.79,6.28,953.24,Lost,0,151.79,1,KE
BET0000080,OP0028,PLR006555,2023-06-25,Cricket,Both Teams Score,System,439.7,6.52,2866.84,Lost,0,439.7,1,DE
BET0000081,OP0032,PLR006881,2023-03-07,Esports,First Goal Scorer,Single,327.34,14.79,4841.36,Lost,0,327.34,1,DE
BET0000082,OP0026,PLR006702,2023-11-03,Basketball,First Goal Scorer,Single,463.44,5.69,2636.97,Lost,0,463.44,0,GB
BET0000083,OP0068,PLR007210,2023-01-31,Football,Match Winner,Single,43.63,10.94,477.31,Pending,0,43.63,0,GB
BET0000084,OP0065,PLR002169,2024-11-05,Tennis,Match Winner,Accumulator,90.37,1.89,170.8,Lost,0,90.37,0,KE
BET0000085,OP0015,PLR003670,2024-02-13,Tennis,Asian Handicap,System,161.37,13.42,2165.59,Pending,0,161.37,0,PH
BET0000086,OP0018,PLR005667,2024-10-30,Cricket,First Goal Scorer,Single,455.81,9.24,4211.68,Won,4211.68,-3755.87,0,NG
BET0000087,OP0060,PLR001508,2023-05-09,Rugby,First Goal Scorer,Single,435.36,5.35,2329.18,Lost,0,435.36,1,NG
BET0000088,OP0076,PLR005185,2024-11-24,Baseball,First Goal Scorer,Single,487.44,6.92,3373.08,Void,487.44,0.0,0,PH
BET0000089,OP0072,PLR006291,2024-08-21,Esports,Match Winner,Accumulator,469.42,3.46,1624.19,Void,469.42,0.0,0,CA
BET0000090,OP0036,PLR004458,2023-04-03,Esports,Both Teams Score,Accumulator,368.91,11.89,4386.34,Lost,0,368.91,0,KE
BET0000091,OP0026,PLR003620,2024-05-26,Baseball,Match Winner,Single,459.6,5.25,2412.9,Won,2412.9,-1953.3,0,ZA
BET0000092,OP0002,PLR001598,2024-03-30,Football,Asian Handicap,Accumulator,157.35,6.65,1046.38,Pending,0,157.35,1,AU
BET0000093,OP0033,PLR004646,2023-07-16,Rugby,Over/Under,Single,276.14,14.65,4045.45,Lost,0,276.14,0,KE
BET0000094,OP0029,PLR003522,2024-10-26,Cricket,Match Winner,Accumulator,155.3,3.91,607.22,Lost,0,155.3,1,DE
BET0000095,OP0004,PLR001837,2024-06-03,Esports,Correct Score,Single,347.97,6.11,2126.1,Lost,0,347.97,0,NG
BET0000096,OP0056,PLR001784,2024-11-27,Football,Match Winner,Single,192.72,3.58,689.94,Won,689.94,-497.22,0,NG
BET0000097,OP0067,PLR007867,2023-05-20,Esports,First Goal Scorer,Single,23.82,12.02,286.32,Won,286.32,-262.5,0,KE
BET0000098,OP0057,PLR006932,2024-03-28,Football,Asian Handicap,Single,152.9,10.76,1645.2,Won,1645.2,-1492.3,1,GB
BET0000099,OP0042,PLR005102,2023-06-18,Baseball,Over/Under,Single,108.86,13.15,1431.51,Lost,0,108.86,1,CA
BET0000100,OP0059,PLR004657,2024-04-02,Baseball,Match Winner,Accumulator,22.04,7.33,161.55,Won,161.55,-139.51,0,BR
BET0000101,OP0007,PLR004887,2024-09-08,Tennis,Match Winner,Single,191.87,1.87,358.8,Won,358.8,-166.93,1,IN
BET0000102,OP0068,PLR006073,2024-03-28,Esports,Asian Handicap,Accumulator,88.42,3.11,274.99,Lost,0,88.42,1,DE
BET0000103,OP0075,PLR001547,2024-08-20,Football,Both Teams Score,Single,73.4,8.91,653.99,Lost,0,73.4,0,CA
BET0000104,OP0016,PLR004220,2024-10-29,Basketball,Correct Score,System,238.22,9.74,2320.26,Won,2320.26,-2082.04,1,NG
BET0000105,OP0042,PLR002061,2023-10-22,Rugby,Correct Score,Single,59.45,11.44,680.11,Lost,0,59.45,0,ZA
BET0000106,OP0035,PLR005070,2023-11-14,Cricket,Asian Handicap,Single,431.16,13.14,5665.44,Won,5665.44,-5234.28,0,ZA
BET0000107,OP0004,PLR000840,2024-05-10,Basketball,First Goal Scorer,Single,206.9,10.25,2120.72,Won,2120.72,-1913.82,1,ZA
BET0000108,OP0019,PLR004877,2024-08-17,Tennis,Match Winner,Accumulator,31.7,13.34,422.88,Lost,0,31.7,0,AU
BET0000109,OP0009,PLR007311,2023-02-22,Football,Match Winner,Single,319.21,9.13,2914.39,Won,2914.39,-2595.18,1,BR
BET0000110,OP0073,PLR004699,2024-05-27,Esports,First Goal Scorer,System,197.53,3.49,689.38,Won,689.38,-491.85,0,ZA
BET0000111,OP0005,PLR002208,2024-12-04,Basketball,Asian Handicap,Single,123.22,12.44,1532.86,Lost,0,123.22,1,GB
BET0000112,OP0013,PLR000374,2023-11-29,Baseball,First Goal Scorer,System,242.36,8.24,1997.05,Won,1997.05,-1754.69,0,PH
BET0000113,OP0049,PLR005983,2023-11-06,Football,Match Winner,Single,203.14,2.5,507.85,Lost,0,203.14,0,BR
BET0000114,OP0047,PLR004896,2024-05-27,Rugby,Over/Under,Single,465.01,1.14,530.11,Lost,0,465.01,0,CA
BET0000115,OP0067,PLR005958,2024-12-10,Baseball,Both Teams Score,System,333.01,12.71,4232.56,Pending,0,333.01,1,DE
BET0000116,OP0055,PLR006416,2023-03-31,Rugby,Both Teams Score,Single,368.73,3.05,1124.63,Void,368.73,0.0,0,ZA
BET0000117,OP0029,PLR005433,2024-03-16,Rugby,Asian Handicap,Accumulator,109.15,5.19,566.49,Lost,0,109.15,1,KE
BET0000118,OP0027,PLR001642,2023-04-27,Cricket,Over/Under,Single,98.94,10.76,1064.59,Won,1064.59,-965.65,0,DE
BET0000119,OP0004,PLR001325,2023-07-14,Esports,First Goal Scorer,Accumulator,427.18,3.34,1426.78,Won,1426.78,-999.6,1,KE
BET0000120,OP0031,PLR001212,2024-10-12,Cricket,First Goal Scorer,Single,232.54,2.32,539.49,Lost,0,232.54,0,NG
BET0000121,OP0077,PLR005949,2023-12-23,Tennis,Over/Under,Single,185.04,13.49,2496.19,Lost,0,185.04,0,IN
BET0000122,OP0066,PLR006651,2024-08-11,Football,Asian Handicap,Single,141.77,11.72,1661.54,Lost,0,141.77,0,BR
BET0000123,OP0053,PLR005465,2024-12-03,Rugby,Asian Handicap,Single,467.33,1.29,602.86,Lost,0,467.33,0,CA
BET0000124,OP0050,PLR005392,2024-04-18,Rugby,Match Winner,Accumulator,273.05,10.91,2978.98,Lost,0,273.05,0,NG
BET0000125,OP0056,PLR004487,2024-03-22,Esports,Over/Under,Accumulator,300.86,4.66,1402.01,Pending,0,300.86,0,IN
BET0000126,OP0054,PLR001420,2024-06-05,Rugby,First Goal Scorer,Single,136.99,8.65,1184.96,Lost,0,136.99,0,BR
BET0000127,OP0073,PLR005911,2023-07-16,Football,Match Winner,Accumulator,204.91,14.93,3059.31,Won,3059.31,-2854.4,0,PH
BET0000128,OP0048,PLR003413,2023-08-20,Basketball,Asian Handicap,Single,205.14,6.77,1388.8,Lost,0,205.14,1,CA
BET0000129,OP0052,PLR004033,2023-12-05,Rugby,Asian Handicap,Accumulator,351.85,5.24,1843.69,Lost,0,351.85,0,DE
BET0000130,OP0048,PLR004143,2024-12-19,Tennis,Correct Score,Single,32.39,6.91,223.81,Lost,0,32.39,1,IN
BET0000131,OP0016,PLR007472,2023-01-23,Cricket,Over/Under,System,299.01,6.7,2003.37,Won,2003.37,-1704.36,0,DE
BET0000132,OP0075,PLR003399,2023-08-25,Esports,Both Teams Score,Single,277.58,3.67,1018.72,Lost,0,277.58,0,IN
BET0000133,OP0004,PLR004498,2024-06-15,Football,Match Winner,Single,331.6,10.2,3382.32,Void,331.6,0.0,1,PH
BET0000134,OP0065,PLR006488,2024-05-01,Baseball,Asian Handicap,System,201.7,2.69,542.57,Won,542.57,-340.87,1,AU
BET0000135,OP0079,PLR006452,2023-12-17,Rugby,Match Winner,Single,64.74,14.71,952.33,Lost,0,64.74,0,DE
BET0000136,OP0034,PLR003728,2024-02-19,Rugby,Asian Handicap,System,89.01,2.08,185.14,Lost,0,89.01,1,BR
BET0000137,OP0030,PLR001566,2023-04-13,Baseball,First Goal Scorer,Single,468.4,8.27,3873.67,Pending,0,468.4,0,BR
BET0000138,OP0027,PLR006088,2024-04-01,Basketball,Correct Score,Accumulator,259.83,6.12,1590.16,Lost,0,259.83,0,KE
BET0000139,OP0031,PLR003158,2024-05-30,Tennis,Correct Score,Single,286.5,6.58,1885.17,Lost,0,286.5,0,KE
BET0000140,OP0018,PLR003023,2024-06-02,Tennis,Match Winner,Single,458.39,4.74,2172.77,Won,2172.77,-1714.38,1,KE
BET0000141,OP0023,PLR003281,2024-12-24,Baseball,Asian Handicap,Single,438.85,8.97,3936.48,Pending,0,438.85,0,GB
BET0000142,OP0032,PLR002736,2024-01-18,Basketball,Over/Under,Single,125.32,14.53,1820.9,Lost,0,125.32,1,NG
BET0000143,OP0041,PLR000448,2023-02-24,Basketball,Asian Handicap,Single,128.81,8.88,1143.83,Lost,0,128.81,0,ZA
BET0000144,OP0078,PLR007010,2023-02-05,Baseball,Correct Score,Single,53.03,10.67,565.83,Won,565.83,-512.8,0,CA
BET0000145,OP0039,PLR002177,2024-09-27,Baseball,Correct Score,Single,381.85,11.41,4356.91,Lost,0,381.85,0,BR
BET0000146,OP0049,PLR003916,2023-06-13,Rugby,Both Teams Score,Single,113.65,13.43,1526.32,Won,1526.32,-1412.67,1,KE
BET0000147,OP0053,PLR004755,2023-09-21,Rugby,Over/Under,Single,208.31,9.19,1914.37,Lost,0,208.31,0,KE
BET0000148,OP0069,PLR005724,2024-01-26,Baseball,First Goal Scorer,Single,173.31,2.68,464.47,Pending,0,173.31,1,PH
BET0000149,OP0041,PLR005318,2024-02-19,Esports,Both Teams Score,Single,400.99,11.22,4499.11,Lost,0,400.99,0,ZA
BET0000150,OP0064,PLR004822,2024-08-11,Cricket,Over/Under,Single,28.8,7.98,229.82,Lost,0,28.8,0,BR
BET0000151,OP0049,PLR007330,2024-07-07,Cricket,Match Winner,Single,117.68,14.55,1712.24,Lost,0,117.68,1,PH
BET0000152,OP0059,PLR004817,2024-03-06,Cricket,Over/Under,Single,3.05,13.26,40.44,Won,40.44,-37.39,0,CA
BET0000153,OP0042,PLR001443,2023-02-17,Tennis,First Goal Scorer,Single,311.85,9.87,3077.96,Pending,0,311.85,0,GB
BET0000154,OP0038,PLR002292,2024-07-24,Football,Correct Score,Single,128.75,2.23,287.11,Lost,0,128.75,0,ZA
BET0000155,OP0080,PLR006883,2023-01-20,Football,First Goal Scorer,System,193.94,11.26,2183.76,Lost,0,193.94,0,AU
BET0000156,OP0044,PLR002329,2024-08-31,Tennis,Over/Under,Single,155.15,3.76,583.36,Lost,0,155.15,0,BR
BET0000157,OP0018,PLR004464,2023-10-16,Football,Correct Score,Single,92.24,12.84,1184.36,Lost,0,92.24,0,KE
BET0000158,OP0051,PLR004694,2023-03-21,Rugby,Correct Score,Single,394.47,8.03,3167.59,Pending,0,394.47,1,BR
BET0000159,OP0047,PLR003902,2023-10-10,Cricket,Over/Under,Single,7.06,11.97,84.51,Lost,0,7.06,1,PH
BET0000160,OP0040,PLR003835,2023-05-04,Esports,Asian Handicap,Single,241.51,11.02,2661.44,Lost,0,241.51,0,IN
BET0000161,OP0022,PLR001201,2024-12-07,Football,Correct Score,Single,86.95,3.95,343.45,Lost,0,86.95,1,KE
BET0000162,OP0017,PLR007385,2024-08-05,Esports,Match Winner,System,231.04,14.21,3283.08,Lost,0,231.04,0,PH
BET0000163,OP0066,PLR000482,2024-04-29,Cricket,Both Teams Score,Single,439.35,12.35,5425.97,Won,5425.97,-4986.62,1,DE
BET0000164,OP0041,PLR007364,2023-10-18,Tennis,Match Winner,Single,156.77,1.13,177.15,Lost,0,156.77,0,ZA
BET0000165,OP0054,PLR000624,2024-02-16,Basketball,Correct Score,Single,169.86,11.12,1888.84,Lost,0,169.86,1,CA
BET0000166,OP0061,PLR006287,2024-07-14,Esports,Correct Score,Single,114.55,4.27,489.13,Lost,0,114.55,0,DE
BET0000167,OP0004,PLR002205,2023-12-27,Basketball,Over/Under,Single,109.59,10.25,1123.3,Pending,0,109.59,0,GB
BET0000168,OP0046,PLR002048,2024-04-29,Tennis,First Goal Scorer,Accumulator,442.36,2.12,937.8,Lost,0,442.36,0,CA
BET0000169,OP0076,PLR003157,2023-11-21,Basketball,Match Winner,Single,245.33,8.04,1972.45,Void,245.33,0.0,0,DE
BET0000170,OP0011,PLR003185,2023-01-27,Basketball,Both Teams Score,Single,469.6,11.49,5395.7,Lost,0,469.6,0,AU
BET0000171,OP0076,PLR000455,2023-03-31,Tennis,Correct Score,Accumulator,206.64,5.4,1115.86,Lost,0,206.64,1,AU
BET0000172,OP0064,PLR007888,2023-01-28,Football,Correct Score,Single,407.39,1.42,578.49,Won,578.49,-171.1,0,DE
BET0000173,OP0001,PLR005074,2023-07-20,Baseball,Both Teams Score,Accumulator,474.79,12.56,5963.36,Pending,0,474.79,0,BR
BET0000174,OP0077,PLR000404,2024-08-07,Esports,Both Teams Score,Accumulator,429.18,7.16,3072.93,Lost,0,429.18,0,IN
BET0000175,OP0023,PLR001970,2023-10-17,Rugby,Over/Under,Single,169.67,4.25,721.1,Pending,0,169.67,1,DE
BET0000176,OP0009,PLR003340,2024-05-09,Football,Match Winner,Single,236.82,12.03,2848.94,Lost,0,236.82,0,ZA
BET0000177,OP0029,PLR000233,2023-02-20,Football,Asian Handicap,System,352.29,13.24,4664.32,Pending,0,352.29,0,NG
BET0000178,OP0050,PLR007033,2024-03-04,Baseball,Asian Handicap,Accumulator,167.02,3.18,531.12,Won,531.12,-364.1,1,KE
BET0000179,OP0056,PLR007842,2024-09-28,Cricket,Correct Score,Single,90.05,11.13,1002.26,Lost,0,90.05,0,NG
BET0000180,OP0043,PLR002551,2023-10-30,Basketball,Correct Score,Accumulator,183.05,13.86,2537.07,Lost,0,183.05,0,GB
BET0000181,OP0044,PLR002789,2024-12-11,Tennis,Over/Under,Single,413.04,2.5,1032.6,Lost,0,413.04,1,NG
BET0000182,OP0018,PLR005859,2024-12-01,Tennis,Match Winner,Accumulator,334.66,13.74,4598.23,Lost,0,334.66,1,BR
BET0000183,OP0057,PLR005539,2023-03-21,Esports,Over/Under,Single,207.37,8.34,1729.47,Lost,0,207.37,0,KE
BET0000184,OP0030,PLR000782,2024-07-03,Football,Asian Handicap,Single,335.22,12.52,4196.95,Pending,0,335.22,0,GB
BET0000185,OP0073,PLR007127,2023-07-01,Esports,Match Winner,Single,182.19,3.2,583.01,Lost,0,182.19,1,GB
BET0000186,OP0029,PLR003381,2023-05-24,Esports,Both Teams Score,Single,28.92,3.79,109.61,Lost,0,28.92,0,IN
BET0000187,OP0033,PLR002399,2023-08-15,Basketball,Correct Score,Single,328.23,12.28,4030.66,Won,4030.66,-3702.43,0,ZA
BET0000188,OP0020,PLR004491,2023-07-28,Cricket,Asian Handicap,Single,255.85,6.97,1783.27,Pending,0,255.85,1,DE
BET0000189,OP0002,PLR005232,2024-05-08,Esports,Match Winner,Single,466.84,6.28,2931.76,Won,2931.76,-2464.92,0,KE
BET0000190,OP0032,PLR001245,2023-10-05,Esports,Both Teams Score,Single,77.81,2.17,168.85,Lost,0,77.81,0,CA
BET0000191,OP0008,PLR001427,2024-05-11,Baseball,Correct Score,Accumulator,49.96,12.97,647.98,Lost,0,49.96,0,DE
BET0000192,OP0019,PLR005844,2024-12-19,Football,Over/Under,Single,371.67,9.71,3608.92,Lost,0,371.67,1,ZA
BET0000193,OP0039,PLR001901,2023-06-13,Baseball,Match Winner,Single,224.24,14.16,3175.24,Won,3175.24,-2951.0,0,IN
BET0000194,OP0007,PLR006007,2024-10-04,Rugby,First Goal Scorer,Single,271.97,7.1,1930.99,Lost,0,271.97,0,IN
BET0000195,OP0073,PLR000202,2023-09-11,Esports,Both Teams Score,Single,480.47,4.38,2104.46,Lost,0,480.47,0,IN
BET0000196,OP0027,PLR003158,2023-02-19,Basketball,Asian Handicap,Single,149.88,5.95,891.79,Won,891.79,-741.91,1,CA
BET0000197,OP0073,PLR002429,2024-06-16,Rugby,Asian Handicap,Single,68.99,2.1,144.88,Lost,0,68.99,1,CA
BET0000198,OP0033,PLR003007,2024-08-09,Rugby,Match Winner,Single,485.31,10.92,5299.59,Pending,0,485.31,1,DE
BET0000199,OP0067,PLR007059,2024-03-13,Football,First Goal Scorer,System,335.52,2.38,798.54,Lost,0,335.52,0,CA
BET0000200,OP0039,PLR005853,2024-06-10,Football,Both Teams Score,Accumulator,389.9,4.49,1750.65,Void,389.9,0.0,1,KE
BET0000201,OP0057,PLR004641,2023-03-14,Football,Over/Under,Single,254.23,8.52,2166.04,Won,2166.04,-1911.81,1,ZA
BET0000202,OP0009,PLR003848,2024-11-16,Football,Match Winner,Accumulator,427.46,5.86,2504.92,Won,2504.92,-2077.46,0,AU
BET0000203,OP0033,PLR003315,2024-07-21,Football,Over/Under,Single,217.27,14.72,3198.21,Won,3198.21,-2980.94,1,NG
